subtask,metric,lr,patience,max_epoch
100001,0.948602020740509,5e-05,75,5
10001,0.8429505228996277,4e-05,25,5
10002,0.7726931571960449,2e-05,50,10
10101,0.9343761205673218,0.0001,100,10
10301,0.8992798328399658,0.0001,50,3
10401,0.8121340274810791,2e-05,75,3
10501,0.661397397518158,0.0001,100,3
10801,0.4075324833393097,0.0001,100,10
10901,0.8072680234909058,4e-05,75,5
10902,0.8539339303970337,2e-05,50,5
11601,0.5472887754440308,0.0001,25,10
11701,0.8366259336471558,0.0001,100,5
11801,0.6496893167495728,5e-05,100,5
11901,0.9559417963027954,0.0001,100,3
120001,0.7965476512908936,2e-05,50,3
12001,0.8864254355430603,3e-05,100,5
12002,0.8326772451400757,0.0001,100,5
12401,0.7092863321304321,2e-05,75,3
12501,0.6970282196998596,5e-05,75,5
12601,0.8132529258728027,2e-05,100,10
12701,0.613140881061554,3e-05,50,3
12801,0.7278,2e-05,25,5
18001,0.7715184092521667,5e-05,50,5
19001,0.5049614310264587,2e-05,25,10
22001,0.16263730823993683,0.0001,100,20
25001,0.7848389744758606,0.0001,100,3
26001,0.8055017590522766,5e-05,100,3
300001,0.8757607936859131,3e-05,25,5
31001,0.9707205295562744,3e-05,75,3
33001,0.7585827112197876,3e-05,100,3
33002,0.9137555360794068,0.0001,100,10
33003,0.9340238571166992,3e-05,75,10
38001,0.2811366021633148,3e-05,100,10
40001,0.7371275424957275,4e-05,100,5
42001,0.7180106043815613,4e-05,100,3
42002,0.8022106289863586,5e-05,25,5
63001,0.5631728172302246,4e-05,75,5
64001,0.7550175786018372,3e-05,75,5
64002,1.0,2e-05,100,10
72001,0.0907110720872879,4e-05,100,3
75001,0.8411044478416443,4e-05,75,3
75002,0.9967132210731506,3e-05,75,3
75003,0.9684221148490906,4e-05,100,3
80001,0.2884865999221802,0.0001,75,10
84001,0.7990370392799377,2e-05,100,5
86001,0.7496638894081116,4e-05,100,3
87001,0.6238319873809814,5e-05,100,3
88001,0.6375589966773987,0.0001,100,10
89101,0.7180325984954834,5e-05,50,10
89201,0.7064160108566284,5e-05,100,10
89202,0.8608672022819519,2e-05,100,3
90001,0.5235924124717712,4e-05,75,3
90002,0.5223000645637512,5e-05,75,5
91001,1.0,0.0001,100,10
92001,0.6058186888694763,5e-05,75,3
92002,0.6714954376220703,2e-05,100,3
92003,0.5316405892372131,4e-05,25,5
96001,0.4407691955566406,5e-05,100,3
99001,0.919544517993927,4e-05,100,3
